number_in_quran	sura_no	aya_no	text
461	3	168	﴿الَّذِينَ﴾ بَدَل مِن الَّذِينَ قَبْله أوْ نَعْت ﴿قالُوا لِإخْوانِهِمْ﴾ فِي الدِّين ﴿و﴾ قَدْ ﴿قَعَدُوا﴾ عَنْ الجِهاد ﴿لَوْ أطاعُونا﴾ أيْ شُهَداء أُحُد أوْ إخْواننا فِي القُعُود ﴿قُلْ﴾ لَهُمْ ﴿فادْرَءُوا﴾ ادْفَعُوا ﴿عَنْ أنْفُسكُمْ المَوْت إنْ كُنْتُمْ صادِقِينَ﴾ فِي أنَّ القُعُود يُنْجِي مِنهُ
462	3	169	ونَزَلَ فِي الشُّهَداء ﴿ولا تَحْسَبَن الَّذِينَ قُتِلُوا﴾ بِالتَّخْفِيفِ والتَّشْدِيد ﴿فِي سَبِيل اللَّه﴾ أيْ لِأَجْلِ دِينه ﴿أمْواتًا بَلْ﴾ هُمْ ﴿أحْياء عِنْد رَبّهمْ﴾ أرْواحهمْ فِي حَواصِل طُيُور خُضْر تَسْرَح فِي الجَنَّة حَيْثُ شاءَتْ كَما ورَدَ فِي الحَدِيث ﴿يُرْزَقُونَ﴾ يَأْكُلُونَ مِن ثِمار الجَنَّة
463	3	170	﴿فَرِحِينَ﴾ حال مِن ضَمِير يُرْزَقُونَ ﴿بِما آتاهُمْ اللَّه مِن فَضْله﴾ ﴿و﴾ هُمْ ﴿يَسْتَبْشِرُونَ﴾ يَفْرَحُونَ ﴿بِالَّذِينَ لَمْ يَلْحَقُوا بِهِمْ مِن خَلْفهمْ﴾ مِن إخْوانهمْ المُؤْمِنِينَ ويُبْدَل مِن الَّذِينَ ﴿أنْ﴾ أيْ بِأَنْ ﴿لا خَوْف عَلَيْهِمْ﴾ الَّذِينَ لَمْ يَلْحَقُوا بِهِمْ ﴿ولا هُمْ يَحْزَنُونَ﴾ فِي الآخِرَة المَعْنى يَفْرَحُونَ بِأَمْنِهِمْ وفَرَحهمْ
464	3	171	﴿يَسْتَبْشِرُونَ بِنِعْمَةٍ﴾ ثَواب ﴿مِن اللَّه وفَضْل﴾ زِيادَة عَلَيْهِ ﴿وأَنَّ﴾ بِالفَتْحِ عَطْفًا عَلى نِعْمَة وبِالكَسْرِ اسْتِئْنافًا ﴿اللَّه لا يُضِيع أجْر المُؤْمِنِينَ﴾ بَلْ يَأْجُرهُمْ
465	3	172	﴿الَّذِينَ﴾ مُبْتَدَأ ﴿اسْتَجابُوا لِلَّهِ والرَّسُول﴾ دُعاءَهُ بِالخُرُوجِ لِلْقِتالِ لَمّا أرادَ أبُو سُفْيان وأَصْحابه العَوْد تَواعَدُوا مَعَ النَّبِيّ ﷺ سُوق بَدْر العام المُقْبِل مِن يَوْم أُحُد ﴿مِن بَعْد ما أصابَهُمْ القَرْح﴾ بِأُحُدٍ وخَبَر المُبْتَدَأ ﴿لِلَّذِينَ أحْسَنُوا مِنهُمْ﴾ بِطاعَتِهِ ﴿واتَّقَوْا﴾ مُخالَفَته ﴿أجْر عَظِيم﴾ هُوَ الجَنَّة
466	3	173	﴿الَّذِينَ﴾ بَدَل مِن الَّذِينَ قَبْله أوْ نَعْت ﴿قالَ لَهُمْ النّاس﴾ أيْ نَعِيم بْن مَسْعُود الأَشْجَعِيّ ﴿إنّ النّاس﴾ أبا سُفْيان وأَصْحابه ﴿قَدْ جَمَعُوا لَكُمْ﴾ الجُمُوع ليستأصلوكم ﴿فاخْشَوْهُمْ﴾ ولا تَأْتُوهُمْ ﴿فَزادَهُمْ﴾ ذَلِكَ القَوْل ﴿إيمانًا﴾ تَصْدِيقًا بِاللَّهِ ويَقِينًا ﴿وقالُوا حَسْبنا اللَّه﴾ كافِينا أمْرهمْ ﴿ونِعْمَ الوَكِيل﴾ المُفَوَّض إلَيْهِ الأَمْر هُوَ وخَرَجُوا مَعَ النَّبِيّ ﷺ فَوافَوْا سُوق بَدْر وأَلْقى اللَّه الرُّعْب فِي قَلْب أبِي سُفْيان وأَصْحابه فَلَمْ يَأْتُوا وكانَ مَعَهُمْ تِجارات فَباعُوا ورَبِحُوا
467	3	174	﴿فانْقَلَبُوا﴾ رَجَعُوا مِن بَدْر ﴿بِنِعْمَةٍ مِن اللَّه وفَضْل﴾ بِسِلامَةٍ ورِبْح ﴿لَمْ يَمْسَسْهُمْ سُوء﴾ مِن قَتْل أوْ جُرْح ﴿واتَّبَعُوا رِضْوان اللَّه﴾ بِطاعَتِهِ وطاعَة رَسُوله فِي الخُرُوج ﴿واللَّه ذُو فَضْل عَظِيم﴾ عَلى أهْل طاعَته
468	3	175	﴿إنّما ذَلِكُمْ﴾ أيْ القائِل لَكُمْ إنّ النّاس إلَخْ ﴿الشَّيْطان يُخَوِّف﴾ الشَّيْطان يُخَوِّفكُمْ ﴿أوْلِياءَهُ﴾ الكُفّار ﴿فَلا تَخافُوهُمْ وخافُونِي﴾ فِي تَرْك أمْرِي ﴿إنْ كُنْتُمْ مُؤْمِنِينَ﴾ حَقًّا
469	3	176	﴿ولا يَحْزُنك﴾ بِضَمِّ الياء، وكَسْر الزّاي وبِفَتْحِها وضَمّ الزّاي مِن: أحْزَنَهُ ﴿الَّذِينَ يُسارِعُونَ فِي الكُفْر﴾ يَقَعُونَ فِيهِ سَرِيعًا بِنُصْرَتِهِ وهُمْ أهْل مَكَّة أوْ المُنافِقُونَ أيْ لا تَهْتَمّ لِكُفْرِهِمْ ﴿إنّهُمْ لَنْ يَضُرُّوا اللَّه شَيْئًا﴾ بِفِعْلِهِمْ وإنَّما يَضُرُّونَ أنْفُسهمْ ﴿يُرِيد اللَّه ألّا يَجْعَل لَهُمْ حَظًّا﴾ نَصِيبًا ﴿فِي الآخِرَة﴾ أيْ الجَنَّة فَلِذَلِكَ خَذَلَهُمْ اللَّه ﴿ولَهُمْ عَذاب عَظِيم﴾ فِي النّار
470	3	177	﴿إنّ الَّذِينَ اشْتَرَوْا الكُفْر بِالإيمانِ﴾ أيْ أخَذُوهُ بَدَله ﴿لَنْ يَضُرُّوا اللَّه﴾ بِكُفْرِهِمْ ﴿شَيْئًا ولَهُمْ عَذاب ألِيم﴾ مُؤْلِم
471	3	178	﴿ولا يَحْسَبَن﴾ بِالياءِ والتّاء ﴿الَّذِينَ كَفَرُوا أنَّما نُمْلِي﴾ أيْ إمْلاءَنا ﴿لَهُمْ﴾ بِتَطْوِيلِ الأَعْمار وتَأْخِيرهمْ ﴿خَيْر لِأَنْفُسِهِمْ﴾ وأَنَّ ومَعْمُولاها سَدَّتْ مَسَدّ المَفْعُولَيْنِ فِي قِراءَة التَّحْتانِيَّة ومَسَدّ الثّانِي فِي الأُخْرى ﴿إنّما نُمْلِي﴾ نُمْهِل ﴿لَهُمْ لِيَزْدادُوا إثْمًا﴾ بِكَثْرَةِ المَعاصِي ﴿ولَهُمْ عَذاب مُهِين﴾ ذُو إهانَة فِي الآخِرَة
472	3	179	﴿ما كانَ اللَّه لِيَذَر﴾ لِيَتْرُك ﴿المُؤْمِنِينَ عَلى ما أنْتُمْ﴾ أيّها النّاس ﴿عَلَيْهِ﴾ مِن اخْتِلاط المُخْلِص بِغَيْرِهِ ﴿حَتّى يَمِيز﴾ بِالتَّخْفِيفِ والتَّشْدِيد يَفْصِل ﴿الخَبِيث﴾ المُنافِق ﴿مِن الطَّيِّب﴾ المُؤْمِن بِالتَّكالِيفِ الشّاقَّة المُبَيِّنَة لِذَلِكَ فَفَعَلَ ذَلِكَ يَوْم أُحُد ﴿وما كانَ اللَّه لِيُطْلِعكُمْ عَلى الغَيْب﴾ فَتَعْرِفُوا المُنافِق مِن غَيْره قَبْل التَّمْيِيز ﴿ولَكِنَّ اللَّه يَجْتَبِي﴾ يَخْتار ﴿مِن رُسُله مَن يَشاء﴾ فَيُطْلِعهُ عَلى غَيْبه كَما أطْلَعَ النَّبِيّ ﷺ عَلى حال المُنافِقِينَ ﴿فَآمِنُوا بِاللَّهِ ورُسُله وإنْ تُؤْمِنُوا وتَتَّقُوا﴾ النِّفاق
473	3	180	﴿ولا يَحْسَبَن﴾ بِالياءِ والتّاء ﴿الَّذِينَ يَبْخَلُونَ بِما آتاهُمْ اللَّه مِن فَضْله﴾ أيْ بِزَكاتِهِ ﴿هُوَ﴾ أيْ بُخْلهمْ ﴿خَيْرًا لَهُمْ﴾ مَفْعُول ثانٍ والضَّمِير لِلْفَصْلِ والأَوَّل بُخْلهمْ مُقَدَّرًا قَبْل المَوْصُول عَلى الفَوْقانِيَّة وقَبْل الضَّمِير عَلى التَّحْتانِيَّة ﴿بَلْ هُوَ شَرّ لَهُمْ سَيُطَوَّقُونَ ما بَخِلُوا بِهِ﴾ أيْ بِزَكاتِهِ مِن المال ﴿يَوْم القِيامَة﴾ بِأَنْ يُجْعَل حَيَّة فِي عُنُقه تَنْهَشهُ كَما ورَدَ فِي الحَدِيث ﴿ولِلَّهِ مِيراث السَّماوات والأَرْض﴾ يَرِثهُما بَعْد فَناء أهْلهما ﴿واللَّه بِما تَعْمَلُونَ﴾ بِالتّاءِ والياء ﴿خَبِير﴾ فَيُجازِيكُمْ بِهِ
474	3	181	﴿لَقَدْ سَمِعَ اللَّه قَوْل الَّذِينَ قالُوا إنّ اللَّه فَقِير ونَحْنُ أغْنِياء﴾ وهُمْ اليَهُود قالُوهُ لَمّا نَزَلَ ﴿مَن ذا الَّذِي يُقْرِض اللَّه قَرْضًا حَسَنًا﴾ وقالُوا كانَ غَنِيًّا ما اسْتَقْرَضْناهُ ﴿سَنَكْتُبُ﴾ نَأْمُر بِكَتْبِ ﴿ما قالُوا﴾ فِي صَحائِف أعْمالهمْ لِيُجازَوْا عَلَيْهِ وفِي قِراءَة بِالياءِ مَبْنِيًّا لِلْمَفْعُولِ ﴿و﴾ نَكْتُب ﴿قَتْلهمْ﴾ بِالنَّصْبِ والرَّفْع ﴿الأَنْبِياء بِغَيْرِ حَقّ ونَقُول﴾ بِالنُّونِ والياء أيْ اللَّه لَهُمْ فِي الآخِرَة عَلى لِسان المَلائِكَة ﴿ذُوقُوا عَذاب الحَرِيق﴾ النّار ويُقال لَهُمْ إذا أُلْقُوا فِيها
475	3	182	﴿ذَلِكَ﴾ العَذاب ﴿بِما قَدَّمَتْ أيْدِيكُمْ﴾ عَبَّرَ بِها عَنْ الإنْسان لِأَنَّ أكْثَر الأَفْعال تُزاوَل بِها ﴿وأَنَّ اللَّه لَيْسَ بِظَلّامٍ﴾ أيْ بِذِي ظُلْم ﴿لِلْعَبِيدِ﴾ فَيُعَذِّبهُمْ بِغَيْرِ ذَنْب
476	3	183	﴿الَّذِينَ﴾ نَعْت لِلَّذِينَ قَبْله ﴿قالُوا﴾ لِمُحَمَّدٍ ﴿إنّ اللَّه﴾ قَدْ ﴿عَهِدَ إلَيْنا﴾ فِي التَّوْراة ﴿ألّا نُؤْمِن لِرَسُولٍ﴾ نُصَدِّقهُ ﴿حَتّى يَأْتِينا بِقُرْبانٍ تَأْكُلهُ النّار﴾ فَلا نُؤْمِن لَك حَتّى تَأْتِينا بِهِ وهُوَ ما يُتَقَرَّب بِهِ إلى اللَّه مِن نِعَم وغَيْرها فَإنَّ قَبْل جاءَتْ نار بَيْضاء مِن السَّماء فَأَحْرَقَتْهُ وإلّا بَقِيَ مَكانه وعَهِدَ إلى بَنِي إسْرائِيل ذَلِكَ إلّا فِي المَسِيح ومُحَمَّد ﴿قُلْ﴾ لَهُمْ تَوْبِيخًا ﴿قَدْ جاءَكُمْ رُسُل مِن قَبْلِي بِالبَيِّناتِ﴾ بِالمُعْجِزاتِ ﴿وبِالَّذِي قُلْتُمْ﴾ كَزَكَرِيّا ويَحْيى فَقَتَلْتُمُوهُمْ والخِطاب لِمَن فِي زَمَن نَبِيّنا مُحَمَّد ﷺ وإنْ كانَ الفِعْل لِأَجْدادِهِمْ لِرِضاهُمْ بِهِ ﴿فَلِمَ قَتَلْتُمُوهُمْ إنْ كُنْتُمْ صادِقِينَ﴾ فِي أنَّكُمْ تُؤْمِنُونَ عِنْد الإتْيان بِهِ
477	3	184	﴿فَإنْ كَذَّبُوك فَقَدْ كُذِّبَ رُسُل مِن قَبْلك جاءُوا بِالبَيِّناتِ﴾ المُعْجِزات ﴿والزُّبُر والكِتاب﴾ كَصُحُفِ إبْراهِيم وفِي قِراءَة بِإثْباتِ الباء فِيهِما ﴿المُنِير﴾ الواضِح هُوَ التَّوْراة والإنْجِيل فاصْبِرْ كَما صَبَرُوا
478	3	185	﴿كُلّ نَفْس ذائِقَة المَوْت وإنَّما تُوَفَّوْنَ أُجُوركُمْ﴾ جَزاء أعْمالكُمْ ﴿يَوْم القِيامَة فَمَن زُحْزِحَ﴾ بُعِدَ ﴿عَنْ النّار وأُدْخِل الجَنَّة فَقَدْ فازَ﴾ نالَ غايَة مَطْلُوبه ﴿وما الحَياة الدُّنْيا﴾ أيْ العَيْش فِيها ﴿إلّا مَتاع الغُرُور﴾ الباطِل يَتَمَتَّع بِهِ قَلِيلًا ثُمَّ يَفْنى
479	3	186	﴿لَتُبْلَوُنَّ﴾ حُذِفَ مِنهُ نُون الرَّفْع لِتَوالِي النُّونات والواو ضَمِير الجَمْع لِالتِقاءِ السّاكِنَيْنِ لَتُخْتَبَرُنَّ ﴿فِي أمْوالكُمْ﴾ بِالفَرائِضِ فِيها والحَوائِج ﴿وأَنْفُسكُمْ﴾ بِالعِباداتِ والبَلاء ﴿ولَتَسْمَعُنَّ مِن الَّذِينَ أُوتُوا الكِتاب مِن قَبْلكُمْ﴾ اليَهُود والنَّصارى ﴿ومِن الَّذِينَ أشْرَكُوا﴾ مِن العَرَب ﴿أذًى كَثِيرًا﴾ مِن السَّبّ والطَّعْن والتَّشْبِيب بِنِسائِكُمْ ﴿وإنْ تَصْبِرُوا﴾ عَلى ذَلِكَ ﴿وتَتَّقُوا﴾ بِالفَرائِضِ ﴿فَإنَّ ذَلِكَ مِن عَزْم الأُمُور﴾ أيْ: مِن مَعْزُوماتها الَّتِي يَعْزِم عَلَيْها لِوُجُوبِها
480	3	187	﴿و﴾ اُذْكُرْ ﴿إذْ أخَذَ اللَّه مِيثاق الَّذِينَ أُوتُوا الكِتاب﴾ أيْ العَهْد عَلَيْهِمْ فِي التَّوْراة ﴿لَيُبَيِّنُنَّه﴾ أيْ الكِتاب ﴿لِلنّاسِ ولا يَكْتُمُونَهُ﴾ أيْ الكِتاب بِالياءِ والتّاء بِالفِعْلَيْنِ ﴿فَنَبَذُوهُ﴾ طَرَحُوا المِيثاق ﴿وراء ظُهُورهمْ﴾ فَلَمْ يَعْمَلُوا بِهِ ﴿واشْتَرَوْا بِهِ﴾ أخَذُوا بَدَله ﴿ثَمَنًا قَلِيلًا﴾ مِن الدُّنْيا مِن سَفَلَتهمْ بِرِياسَتِهِمْ فِي العِلْم فَكَتَمُوهُ خَوْف فَوْته عَلَيْهِمْ ﴿فَبِئْسَ ما يَشْتَرُونَ﴾ شِراؤُهُمْ هَذا
481	3	188	﴿لا تَحْسَبَن﴾ بِالتّاءِ والياء ﴿الَّذِينَ يَفْرَحُونَ بِما أُتُوا﴾ فَعَلُوا فِي إضْلال النّاس ﴿ويُحِبُّونَ أنْ يُحْمَدُوا بِما لَمْ يَفْعَلُوا﴾ مِن التَّمَسُّك بِالحَقِّ وهُمْ عَلى ضَلال ﴿فَلا تَحْسَبَنهُمْ﴾ فِي الوَجْهَيْنِ تَأْكِيد ﴿بِمَفازَةٍ﴾ بِمَكانٍ يَنْجُونَ فِيهِ ﴿مِن العَذاب﴾ مِن الآخِرَة بَلْ هُمْ فِي مَكان يُعَذَّبُونَ فِيهِ وهُوَ جَهَنَّم ﴿ولَهُمْ عَذاب ألِيم﴾ مُؤْلِم فِيها ومَفْعُولًا يَحْسَب الأُولى دَلَّ عَلَيْهِما مَفْعُولا الثّانِيَة عَلى قِراءَة التَّحْتانِيَّة وعَلى الفَوْقانِيَّة حُذِفَ الثّانِي فَقَطْ
482	3	189	﴿ولِلَّهِ مُلْك السَّماوات والأَرْض﴾ خَزائِن المَطَر والرِّزْق والنَّبات وغَيْرها ﴿واللَّه عَلى كُلّ شَيْء قَدِير﴾ ومِنهُ تَعْذِيب الكافِرِينَ وإنْجاء المُؤْمِنِينَ
483	3	190	﴿إن في خلق السَّماوات والأَرْض﴾ وما فِيهِما مِن العَجائِب ﴿واخْتِلاف اللَّيْل والنَّهار﴾ بِالمَجِيءِ والذَّهاب والزِّيادَة والنُّقْصان ﴿لَآيات﴾ دَلالات عَلى قُدْرَته تَعالى ﴿لِأُولِي الأَلْباب﴾ لِذَوِي العُقُول
484	3	191	﴿الَّذِينَ﴾ نَعَتَ لِما قَبْله أوْ بَدَل ﴿يَذْكُرُونَ اللَّه قِيامًا وقُعُودًا وعَلى جُنُوبهمْ﴾ مُضْطَجِعِينَ أيْ فِي كُلّ حال وعَنْ ابْن عَبّاس يُصَلُّونَ كَذَلِكَ حَسْب الطّاقَة ﴿ويَتَفَكَّرُونَ فِي خَلْق السَّماوات والأَرْض﴾ لِيَسْتَدِلُّوا بِهِ عَلى قُدْرَة صانِعهما يَقُولُونَ ﴿رَبّنا ما خَلَقْت هَذا﴾ الخَلْق الَّذِي نَراهُ ﴿باطِلًا﴾ حال عَبَثًا بَلْ دَلِيلًا عَلى كَمالِ قُدْرَتك ﴿سُبْحانك﴾ تَنْزِيهًا لَك عَنْ العَبَث
485	3	192	﴿رَبّنا إنّك مَن تُدْخِل النّار﴾ لِلْخُلُودِ فِيها ﴿فَقَدْ أخْزَيْته﴾ أهَنْته ﴿وما لِلظّالِمِينَ﴾ الكافِرِينَ فِيهِ وُضِعَ الظّاهِر مَوْضِع المُضْمَر إشْعارًا بِتَخْصِيصِ الخِزْي بِهِمْ ﴿مِن أنْصار﴾ يَمْنَعُونَهُمْ مِن عَذاب اللَّه تَعالى
486	3	193	﴿رَبّنا إنّنا سَمِعْنا مُنادِيًا يُنادِي﴾ يَدْعُو النّاس ﴿لِلْإيمانِ﴾ أيْ إلَيْهِ وهُوَ مُحَمَّد أوْ القُرْآن ﴿أنْ﴾ أيْ بِأَنْ ﴿آمِنُوا بِرَبِّكُمْ فَآمَنّا﴾ بِهِ ﴿رَبّنا فاغْفِرْ لَنا ذُنُوبنا وكَفِّرْ﴾ حُطَّ ﴿عَنّا سَيِّئاتنا﴾ فَلا تُظْهِرها بِالعِقابِ عَلَيْها ﴿وتَوَفَّنا﴾ اقْبِضْ أرْواحنا ﴿مَعَ﴾ فِي جُمْلَة ﴿الأَبْرار﴾ الأَنْبِياء الصّالِحِينَ
487	3	194	﴿رَبّنا وآتِنا﴾ أعْطِنا ﴿ما وعَدْتنا﴾ بِهِ ﴿عَلى﴾ ألْسِنَة ﴿رُسُلك﴾ مِن الرَّحْمَة والفَضْل وسُؤالهمْ ذَلِكَ وإنْ كانَ وعْده تَعالى لا يُخْلِف سُؤال أنْ يَجْعَلهُمْ مِن مُسْتَحِقِّيهِ لِأَنَّهُمْ لَمْ يَتَيَقَّنُوا اسْتِحْقاقهمْ لَهُ وتَكْرِير رَبّنا مُبالَغَة فِي التَّضَرُّع ﴿ولا تُخْزِنا يَوْم القِيامَة إنّك لا تُخْلِف المِيعاد﴾ الوَعْد بِالبَعْثِ والجَزاء
488	3	195	﴿فاسْتَجابَ لَهُمْ رَبّهمْ﴾ دُعاءَهُمْ ﴿أنِّي﴾ أيْ بِأَنِّي ﴿لا أُضِيع عَمَل عامِل مِنكُمْ مِن ذَكَر أوْ أُنْثى بَعْضكُمْ﴾ كائِن ﴿مِن بَعْض﴾ أيْ الذُّكُور مِن الإناث وبِالعَكْسِ والجُمْلَة مُؤَكِّدَة لِما قَبْلها أيْ هُمْ سَواء فِي المُجازاة بِالأَعْمالِ وتَرْك تَضْيِيعها نَزَلَتْ لَمّا قالَتْ أُمّ سَلَمَة يا رَسُول اللَّه إنِّي لا أسْمَع ذِكْر النِّساء فِي الهِجْرَة بِشَيْءٍ ﴿فالَّذِينَ هاجَرُوا﴾ مِن مَكَّة إلى المَدِينَة ﴿وأُخْرِجُوا مِن دِيارهمْ وأُوذُوا فِي سَبِيلِي﴾ دِينِي ﴿وقاتَلُوا﴾ الكُفّار ﴿وقُتِلُوا﴾ بِالتَّخْفِيفِ والتَّشْدِيد وفِي قِراءَة بِتَقْدِيمِهِ ﴿لَأُكَفِّرَن عَنْهُمْ سَيِّئاتهمْ﴾ أسْتُرها بِالمَغْفِرَةِ ﴿ولَأُدْخِلَنهُمْ جَنّات تَجْرِي مِن تَحْتها الأَنْهار ثَوابًا﴾ مَصْدَر مِن مَعْنى لَأُكَفِّرَن مُؤَكِّد لَهُ ﴿مِن عِنْد اللَّه﴾ فِيهِ التِفات عَنْ التَّكَلُّم ﴿واللَّه عِنْده حُسْن الثَّواب﴾ الجَزاء
489	3	196	ونَزَلَ لَمّا قالَ المُسْلِمُونَ: أعْداء اللَّه فِيما نَرى مِن الخَيْر ونَحْنُ فِي الجَهْد: ﴿لا يَغُرَّنك تَقَلُّب الَّذِينَ كَفَرُوا﴾ تَصَرُّفهمْ. ﴿فِي البِلاد﴾ بِالتِّجارَةِ والكَسْب
490	3	197	هُوَ ﴿مَتاع قَلِيل﴾ يَتَمَتَّعُونَ بِهِ يَسِيرًا فِي الدُّنْيا ويَفْنى ﴿ثُمَّ مَأْواهُمْ جَهَنَّم وبِئْسَ المِهاد﴾ الفِراش هِيَ
491	3	198	﴿لَكِنْ الَّذِينَ اتَّقَوْا رَبّهمْ لَهُمْ جَنّات تَجْرِي مِن تَحْتها الأَنْهار خالِدِينَ﴾ أيْ مُقَدَّرِينَ بِالخُلُودِ ﴿فِيها نُزُلًا﴾ وهُوَ ما يُعَدّ لِلضَّيْفِ ونَصْبه عَلى الحال مِن جَنّات والعامِل فِيها مَعْنى الظَّرْف ﴿مِن عِنْد اللَّه وما عِنْد اللَّه﴾ مِن الثَّواب ﴿خَيْر لِلْأَبْرارِ﴾ مِن مَتاع الدُّنْيا
492	3	199	﴿وإنَّ مِن أهْل الكِتاب لَمَن يُؤْمِن بِاللَّهِ﴾ كَعَبْدِ اللَّه بْن سَلام وأَصْحابه والنَّجاشِيّ ﴿وما أُنْزِلَ إلَيْكُمْ﴾ أيْ القُرْآن ﴿وما أُنْزِلَ إلَيْهِمْ﴾ أيْ التَّوْراة والإنْجِيل ﴿خاشِعِينَ﴾ حال مِن ضَمِير يُؤْمِن مُراعى فِيهِ مَعْنى مِن أيْ: مُتَواضِعِينَ ﴿لِلَّهِ لا يَشْتَرُونَ بِآياتِ اللَّه﴾ الَّتِي عِنْدهمْ فِي التَّوْراة والإنْجِيل مِن بَعْث النَّبِيّ ﷺ ﴿ثَمَنًا قَلِيلًا﴾ مِن الدُّنْيا بِأَنْ يَكْتُمُوها خَوْفًا عَلى الرِّياسَة كَفِعْلِ غَيْرهمْ مِن اليَهُود ﴿أُولَئِكَ لَهُمْ أجْرهمْ﴾ ثَواب أعْمالهمْ ﴿عِنْد رَبّهمْ﴾ يُؤْتَوْنَهُ مَرَّتَيْنِ كَما فِي القَصَص ﴿إنّ اللَّه سَرِيع الحِساب﴾ يُحاسِب الخَلْق فِي قَدْر نِصْف نَهار مِن أيّام الدُّنْيا
493	3	200	﴿يا أيّها الَّذِينَ آمَنُوا اصْبِرُوا﴾ عَلى الطّاعات والمَصائِب وعَنْ المَعاصِي ﴿وصابِرُوا﴾ الكُفّار فَلا يَكُونُوا أشَدّ صَبْرًا مِنكُمْ ﴿ورابِطُوا﴾ أقِيمُوا عَلى الجِهاد ﴿واتَّقُوا اللَّه﴾ فِي جَمِيع أحْوالكُمْ ﴿لَعَلَّكُمْ تُفْلِحُونَ﴾ تَفُوزُونَ بِالجَنَّةِ وتَنْجُونَ مِن النّار
494	4	1	سُورَة النِّساء [ مَدَنِيَّة وآياتها ١٧٦ أوْ ١٧٧ نَزَلَتْ بَعْد المُمْتَحِنَة ] ﴿يا أيّها النّاس﴾ أيْ أهْل مَكَّة ﴿اتَّقُوا رَبّكُمْ﴾ أيْ عِقابه بِأَنْ تُطِيعُوهُ ﴿الَّذِي خَلَقَكُمْ مِن نَفْس واحِدَة﴾ آدَم ﴿وخَلَقَ مِنها زَوْجها﴾ حَوّاء بِالمَدِّ مِن ضِلْع مِن أضْلاعه اليُسْرى ﴿وبَثَّ﴾ فَرَّقَ ونَشَرَ ﴿مِنهُما﴾ مِن آدَم وحَوّاء ﴿رِجالًا كَثِيرًا ونِساء﴾ كَثِيرَة ﴿واتَّقُوا اللَّه الَّذِي تَساءَلُونَ﴾ فِيهِ إدْغام التّاء فِي الأَصْل فِي السِّين وفِي قِراءَة بِالتَّخْفِيفِ بِحَذْفِها أيْ تَتَساءَلُونَ ﴿بِهِ﴾ فِيما بَيْنكُمْ حَيْثُ يَقُول بَعْضكُمْ لِبَعْضٍ أسْأَلك بِاللَّهِ وأَنْشُدك بِاللَّهِ ﴿و﴾ اتَّقُوا ﴿الأَرْحام﴾ أنْ تَقْطَعُوها وفِي قِراءَة بِالجَرِّ عَطْفًا عَلى الضَّمِير فِي بِهِ وكانُوا يَتَناشَدُونَ بِالرَّحِمِ ﴿إنّ اللَّه كانَ عَلَيْكُمْ رَقِيبًا﴾ حافِظًا لِأَعْمالِكُمْ فَيُجازِيكُمْ بِها أيْ لَمْ يَزَلْ مُتَّصِفًا بِذَلِك
495	4	2	ونَزَلَ فِي يَتِيم طَلَبَ مِن ولِيّه ماله فَمَنَعَهُ ﴿وآتُوا اليَتامى﴾ الصِّغار الَّذِينَ لا أب لَهُمْ، ﴿أمْوالهمْ﴾ إذا بَلَغُوا ﴿ولا تَتَبَدَّلُوا الخَبِيث﴾ الحَرام ﴿بِالطَّيِّبِ﴾ الحَلال أيْ تَأْخُذُوهُ بَدَله كَما تَفْعَلُونَ مِن أخْذ الجَيِّد مِن مال اليَتِيم وجَعْل الرَّدِيء مِن مالكُمْ مَكانه ﴿ولا تَأْكُلُوا أمْوالهمْ﴾ مَضْمُومَة ﴿إلى أمْوالكُمْ إنّهُ﴾ أيْ أكْلها ﴿كانَ حُوبًا﴾ ذَنْبًا ﴿كَبِيرًا﴾ عَظِيمًا ولَمّا نَزَلَتْ تَحَرَّجُوا مِن وِلايَة اليَتامى وكانَ فِيهِمْ مَن تَحْته العَشْر أوْ الثَّمان مِن الأَزْواج فَلا يَعْدِل بَيْنهنَّ فَنَزَلَ
496	4	3	﴿وإنْ خِفْتُمْ﴾ أنْ لا ﴿تُقْسِطُوا﴾ تَعْدِلُوا ﴿فِي اليَتامى﴾ فَتَحَرَّجْتُمْ مِن أمْرهمْ فَخافُوا أيْضًا أنْ لا تَعْدِلُوا بَيْن النِّساء إذا نَكَحْتُمُوهُنَّ ﴿فانْكِحُوا﴾ تَزَوَّجُوا ﴿ما﴾ بِمَعْنى مَن ﴿طابَ لَكُمْ مِن النِّساء مَثْنى وثُلاث ورُباع﴾ أيْ اثْنَتَيْنِ وثَلاثًا وأَرْبَعًا ولا تَزِيدُوا عَلى ذَلِكَ ﴿فَإنْ خِفْتُمْ﴾ أنْ لا ﴿تَعْدِلُوا﴾ فِيهِنَّ بِالنَّفَقَةِ والقَسْم ﴿فَواحِدَة﴾ انْكِحُوها ﴿أوْ﴾ اقْتَصِرُوا عَلى ﴿ما مَلَكَتْ أيْمانكُمْ﴾ مِن الإماء إذْ لَيْسَ لَهُنَّ مِن الحُقُوق ما لِلزَّوْجاتِ ﴿ذَلِكَ﴾ أيْ نِكاح الأَرْبَع فَقَطْ أوْ الواحِدَة أوْ التَّسَرِّي ﴿أدْنى﴾ أقْرَب إلى ﴿ألّا تَعُولُوا﴾ تَجُورُوا
